"Ref","SHA","Tree","Upstream","CommitterDate","Author","Subject"
"safety/merge-f6-before-idempotency-hotfix","295567ee9406f1670013826e91c26898bd363d2c","70f9ca4ac0c08a564e173d4b7cd54ce5ac921a26","origin/safety/merge-f6-before-idempotency-hotfix","2026-06-14 09:05:46 -0600","AugustoMelara-Dev","fix(security): natively encrypt legacy plaintext idempotency keys"
"origin/merge/f6-approved-a9377e9f-exact","295567ee9406f1670013826e91c26898bd363d2c","70f9ca4ac0c08a564e173d4b7cd54ce5ac921a26","","2026-06-14 09:05:46 -0600","AugustoMelara-Dev","fix(security): natively encrypt legacy plaintext idempotency keys"
"origin/safety/merge-f6-before-idempotency-hotfix","295567ee9406f1670013826e91c26898bd363d2c","70f9ca4ac0c08a564e173d4b7cd54ce5ac921a26","","2026-06-14 09:05:46 -0600","AugustoMelara-Dev","fix(security): natively encrypt legacy plaintext idempotency keys"
"checkpoint/f6-operational-polish-merged-main-2026-06-14","24becd56705d2f3c5074dfea2b564ac0c1eb6e62","ac066b91300079db9b21386bf4dd5206bda7982f","origin/checkpoint/f6-operational-polish-merged-main-2026-06-14","2026-06-14 01:33:10 -0600","AugustoMelara-Dev","merge: integrate f6 operational polish"
"safety/main-before-idempotency-hotfix","24becd56705d2f3c5074dfea2b564ac0c1eb6e62","ac066b91300079db9b21386bf4dd5206bda7982f","origin/safety/main-before-idempotency-hotfix","2026-06-14 01:33:10 -0600","AugustoMelara-Dev","merge: integrate f6 operational polish"
"origin/checkpoint/f6-operational-polish-merged-main-2026-06-14","24becd56705d2f3c5074dfea2b564ac0c1eb6e62","ac066b91300079db9b21386bf4dd5206bda7982f","","2026-06-14 01:33:10 -0600","AugustoMelara-Dev","merge: integrate f6 operational polish"
"origin/rescue/no-perder-nada-20260615-180121/branch/checkpoint/f6-operational-polish-merged-main-2026-06-14","24becd56705d2f3c5074dfea2b564ac0c1eb6e62","ac066b91300079db9b21386bf4dd5206bda7982f","","2026-06-14 01:33:10 -0600","AugustoMelara-Dev","merge: integrate f6 operational polish"
"origin/safety/main-before-idempotency-hotfix","24becd56705d2f3c5074dfea2b564ac0c1eb6e62","ac066b91300079db9b21386bf4dd5206bda7982f","","2026-06-14 01:33:10 -0600","AugustoMelara-Dev","merge: integrate f6 operational polish"
"audit/f6-post-approval-sensitive-c851057f","c851057fbcdac7a98a6f06ffb9c6dee526839fc9","740ebed99298b6277849536e9046ea0e2b02f0b9","origin/audit/f6-post-approval-sensitive-c851057f","2026-06-14 01:13:59 -0600","AugustoMelara-Dev","fix(security): natively encrypt legacy plaintext idempotency keys"
"merge/f6-approved-a9377e9f","c851057fbcdac7a98a6f06ffb9c6dee526839fc9","740ebed99298b6277849536e9046ea0e2b02f0b9","origin/merge/f6-approved-a9377e9f","2026-06-14 01:13:59 -0600","AugustoMelara-Dev","fix(security): natively encrypt legacy plaintext idempotency keys"
"origin/audit/f6-post-approval-sensitive-c851057f","c851057fbcdac7a98a6f06ffb9c6dee526839fc9","740ebed99298b6277849536e9046ea0e2b02f0b9","","2026-06-14 01:13:59 -0600","AugustoMelara-Dev","fix(security): natively encrypt legacy plaintext idempotency keys"
"origin/merge/f6-approved-a9377e9f","c851057fbcdac7a98a6f06ffb9c6dee526839fc9","740ebed99298b6277849536e9046ea0e2b02f0b9","","2026-06-14 01:13:59 -0600","AugustoMelara-Dev","fix(security): natively encrypt legacy plaintext idempotency keys"
"origin/rescue/no-perder-nada-20260615-180121/branch/audit/f6-post-approval-sensitive-c851057f","c851057fbcdac7a98a6f06ffb9c6dee526839fc9","740ebed99298b6277849536e9046ea0e2b02f0b9","","2026-06-14 01:13:59 -0600","AugustoMelara-Dev","fix(security): natively encrypt legacy plaintext idempotency keys"
"rescue/no-perder-nada-20260615-171019/stash/1","62308c6fa2a21152b90d3a7d3f2ddb05b11aa496","ac066b91300079db9b21386bf4dd5206bda7982f","","2026-06-14 01:06:17 -0600","AugustoMelara-Dev","On merge/f6-approved-a9377e9f: preserve-untracked-idempotency-hardening-before-approved-gates"
"rescue/no-perder-nada-20260615-180121/stash/1","62308c6fa2a21152b90d3a7d3f2ddb05b11aa496","ac066b91300079db9b21386bf4dd5206bda7982f","","2026-06-14 01:06:17 -0600","AugustoMelara-Dev","On merge/f6-approved-a9377e9f: preserve-untracked-idempotency-hardening-before-approved-gates"
"origin/rescue/no-perder-nada-20260615-171019/stash/1","62308c6fa2a21152b90d3a7d3f2ddb05b11aa496","ac066b91300079db9b21386bf4dd5206bda7982f","","2026-06-14 01:06:17 -0600","AugustoMelara-Dev","On merge/f6-approved-a9377e9f: preserve-untracked-idempotency-hardening-before-approved-gates"
"origin/rescue/no-perder-nada-20260615-180121/stash/1","62308c6fa2a21152b90d3a7d3f2ddb05b11aa496","ac066b91300079db9b21386bf4dd5206bda7982f","","2026-06-14 01:06:17 -0600","AugustoMelara-Dev","On merge/f6-approved-a9377e9f: preserve-untracked-idempotency-hardening-before-approved-gates"
"rescue/no-perder-nada-20260615-171019/stash/2","b0791cba6e0e559492e1f00e837431c34ed0724b","53592277c53d3227f8b0db7d1ae603c1291a7bdc","","2026-06-14 01:00:38 -0600","AugustoMelara-Dev","On merge/f6-approved-a9377e9f: preserve-uncommitted-reports-test-before-approved-merge-gates"
"rescue/no-perder-nada-20260615-180121/stash/2","b0791cba6e0e559492e1f00e837431c34ed0724b","53592277c53d3227f8b0db7d1ae603c1291a7bdc","","2026-06-14 01:00:38 -0600","AugustoMelara-Dev","On merge/f6-approved-a9377e9f: preserve-uncommitted-reports-test-before-approved-merge-gates"
"origin/rescue/no-perder-nada-20260615-171019/stash/2","b0791cba6e0e559492e1f00e837431c34ed0724b","53592277c53d3227f8b0db7d1ae603c1291a7bdc","","2026-06-14 01:00:38 -0600","AugustoMelara-Dev","On merge/f6-approved-a9377e9f: preserve-uncommitted-reports-test-before-approved-merge-gates"
"origin/rescue/no-perder-nada-20260615-180121/stash/2","b0791cba6e0e559492e1f00e837431c34ed0724b","53592277c53d3227f8b0db7d1ae603c1291a7bdc","","2026-06-14 01:00:38 -0600","AugustoMelara-Dev","On merge/f6-approved-a9377e9f: preserve-uncommitted-reports-test-before-approved-merge-gates"
"audit/f6-post-approval-sensitive-a979d5b7","a979d5b79833245fa8a7df93711ef7784f08f918","df93d5b80c9c23a9087c3e6b4e7ccfd213d670ae","origin/audit/f6-post-approval-sensitive-a979d5b7","2026-06-14 00:56:43 -0600","AugustoMelara-Dev","refactor: enhance invoice and payment voiding logic with cash session checks and improve error handling"
"codex/f6-operational-polish","a979d5b79833245fa8a7df93711ef7784f08f918","df93d5b80c9c23a9087c3e6b4e7ccfd213d670ae","origin/codex/f6-operational-polish","2026-06-14 00:56:43 -0600","AugustoMelara-Dev","refactor: enhance invoice and payment voiding logic with cash session checks and improve error handling"
"origin/audit/f6-post-approval-sensitive-a979d5b7","a979d5b79833245fa8a7df93711ef7784f08f918","df93d5b80c9c23a9087c3e6b4e7ccfd213d670ae","","2026-06-14 00:56:43 -0600","AugustoMelara-Dev","refactor: enhance invoice and payment voiding logic with cash session checks and improve error handling"
"origin/codex/f6-operational-polish","a979d5b79833245fa8a7df93711ef7784f08f918","df93d5b80c9c23a9087c3e6b4e7ccfd213d670ae","","2026-06-14 00:56:43 -0600","AugustoMelara-Dev","refactor: enhance invoice and payment voiding logic with cash session checks and improve error handling"
"origin/rescue/no-perder-nada-20260615-180121/branch/audit/f6-post-approval-sensitive-a979d5b7","a979d5b79833245fa8a7df93711ef7784f08f918","df93d5b80c9c23a9087c3e6b4e7ccfd213d670ae","","2026-06-14 00:56:43 -0600","AugustoMelara-Dev","refactor: enhance invoice and payment voiding logic with cash session checks and improve error handling"
"checkpoint/pre-f6-operational-polish-merge-2026-06-14","bbec90b03a1d2f9a72c5d4b737691eec26656b02","62777f0266abb61492d311d41717ea67d68af6bd","origin/checkpoint/pre-f6-operational-polish-merge-2026-06-14","2026-06-13 23:06:32 -0600","AugustoMelara-Dev","refactor(reports): polish reporting backups and settings UI"
"origin/checkpoint/pre-f6-operational-polish-merge-2026-06-14","bbec90b03a1d2f9a72c5d4b737691eec26656b02","62777f0266abb61492d311d41717ea67d68af6bd","","2026-06-13 23:06:32 -0600","AugustoMelara-Dev","refactor(reports): polish reporting backups and settings UI"
"codex/final-rc-scope-cutover","70df4b7edcdd8066d83bd8f664c78196dbd53af2","d2f6f531598d0979ed86b58349dabafa53522d1a","origin/codex/final-rc-scope-cutover","2026-06-12 15:20:52 -0600","AugustoMelara-Dev","docs(qa): document final RC scope cutover"
"rescue/no-perder-nada-20260615-171019/worktree-head/005-C-/tmp/S_Hospital_final_rc","70df4b7edcdd8066d83bd8f664c78196dbd53af2","d2f6f531598d0979ed86b58349dabafa53522d1a","","2026-06-12 15:20:52 -0600","AugustoMelara-Dev","docs(qa): document final RC scope cutover"
"rescue/no-perder-nada-20260615-180121/worktree-head/005-","70df4b7edcdd8066d83bd8f664c78196dbd53af2","d2f6f531598d0979ed86b58349dabafa53522d1a","","2026-06-12 15:20:52 -0600","AugustoMelara-Dev","docs(qa): document final RC scope cutover"
"origin/codex/final-rc-scope-cutover","70df4b7edcdd8066d83bd8f664c78196dbd53af2","d2f6f531598d0979ed86b58349dabafa53522d1a","","2026-06-12 15:20:52 -0600","AugustoMelara-Dev","docs(qa): document final RC scope cutover"
"origin/rescue/no-perder-nada-20260615-171019/worktree-head/005-C-/tmp/S_Hospital_final_rc","70df4b7edcdd8066d83bd8f664c78196dbd53af2","d2f6f531598d0979ed86b58349dabafa53522d1a","","2026-06-12 15:20:52 -0600","AugustoMelara-Dev","docs(qa): document final RC scope cutover"
"origin/rescue/no-perder-nada-20260615-180121/worktree-head/005-","70df4b7edcdd8066d83bd8f664c78196dbd53af2","d2f6f531598d0979ed86b58349dabafa53522d1a","","2026-06-12 15:20:52 -0600","AugustoMelara-Dev","docs(qa): document final RC scope cutover"
"checkpoint/f5-merged-main-2026-06-12","38d2e6e192616ce0e08052aec80a118f3c8ff4be","49ffb69e96fd6bae80b92867d21e2fceb907c9f3","origin/checkpoint/f5-merged-main-2026-06-12","2026-06-12 11:15:28 -0600","AugustoMelara-Dev","Merge branch 'codex/f5-visual-ux-audit'"
"codex/f6-global-institutional-design-refactor","38d2e6e192616ce0e08052aec80a118f3c8ff4be","49ffb69e96fd6bae80b92867d21e2fceb907c9f3","origin/codex/f6-global-institutional-design-refactor","2026-06-12 11:15:28 -0600","AugustoMelara-Dev","Merge branch 'codex/f5-visual-ux-audit'"
"rescue/no-perder-nada-20260615-171019/worktree-head/004-C-/tmp/S_Hospital_f6_global_design","38d2e6e192616ce0e08052aec80a118f3c8ff4be","49ffb69e96fd6bae80b92867d21e2fceb907c9f3","","2026-06-12 11:15:28 -0600","AugustoMelara-Dev","Merge branch 'codex/f5-visual-ux-audit'"
"rescue/no-perder-nada-20260615-180121/worktree-head/004-","38d2e6e192616ce0e08052aec80a118f3c8ff4be","49ffb69e96fd6bae80b92867d21e2fceb907c9f3","","2026-06-12 11:15:28 -0600","AugustoMelara-Dev","Merge branch 'codex/f5-visual-ux-audit'"
"origin/checkpoint/f5-merged-main-2026-06-12","38d2e6e192616ce0e08052aec80a118f3c8ff4be","49ffb69e96fd6bae80b92867d21e2fceb907c9f3","","2026-06-12 11:15:28 -0600","AugustoMelara-Dev","Merge branch 'codex/f5-visual-ux-audit'"
"origin/codex/f6-global-institutional-design-refactor","38d2e6e192616ce0e08052aec80a118f3c8ff4be","49ffb69e96fd6bae80b92867d21e2fceb907c9f3","","2026-06-12 11:15:28 -0600","AugustoMelara-Dev","Merge branch 'codex/f5-visual-ux-audit'"
"origin/rescue/no-perder-nada-20260615-171019/worktree-head/004-C-/tmp/S_Hospital_f6_global_design","38d2e6e192616ce0e08052aec80a118f3c8ff4be","49ffb69e96fd6bae80b92867d21e2fceb907c9f3","","2026-06-12 11:15:28 -0600","AugustoMelara-Dev","Merge branch 'codex/f5-visual-ux-audit'"
"origin/rescue/no-perder-nada-20260615-180121/branch/checkpoint/f5-merged-main-2026-06-12","38d2e6e192616ce0e08052aec80a118f3c8ff4be","49ffb69e96fd6bae80b92867d21e2fceb907c9f3","","2026-06-12 11:15:28 -0600","AugustoMelara-Dev","Merge branch 'codex/f5-visual-ux-audit'"
"origin/rescue/no-perder-nada-20260615-180121/worktree-head/004-","38d2e6e192616ce0e08052aec80a118f3c8ff4be","49ffb69e96fd6bae80b92867d21e2fceb907c9f3","","2026-06-12 11:15:28 -0600","AugustoMelara-Dev","Merge branch 'codex/f5-visual-ux-audit'"
"codex/f5-visual-ux-audit","e3a894ef372e8addff14ca5330c5dc7d6cf28d3e","49ffb69e96fd6bae80b92867d21e2fceb907c9f3","origin/codex/f5-visual-ux-audit","2026-06-12 10:52:12 -0600","AugustoMelara-Dev","test(qa): add F5 visual UX after evidence"
"origin/codex/f5-visual-ux-audit","e3a894ef372e8addff14ca5330c5dc7d6cf28d3e","49ffb69e96fd6bae80b92867d21e2fceb907c9f3","","2026-06-12 10:52:12 -0600","AugustoMelara-Dev","test(qa): add F5 visual UX after evidence"
"checkpoint/f4-merged-main-2026-06-12","ded0fa0b20ce7b2a5c279c84d3b2bf4d52f21c40","b00b8432752facbf9a7d1aa2130ec831491f2e2a","origin/checkpoint/f4-merged-main-2026-06-12","2026-06-12 08:11:26 -0600","AugustoMelara-Dev","Merge branch 'codex/f4-billing-cashbox-flow'"
"origin/checkpoint/f4-merged-main-2026-06-12","ded0fa0b20ce7b2a5c279c84d3b2bf4d52f21c40","b00b8432752facbf9a7d1aa2130ec831491f2e2a","","2026-06-12 08:11:26 -0600","AugustoMelara-Dev","Merge branch 'codex/f4-billing-cashbox-flow'"
"origin/rescue/no-perder-nada-20260615-180121/branch/checkpoint/f4-merged-main-2026-06-12","ded0fa0b20ce7b2a5c279c84d3b2bf4d52f21c40","b00b8432752facbf9a7d1aa2130ec831491f2e2a","","2026-06-12 08:11:26 -0600","AugustoMelara-Dev","Merge branch 'codex/f4-billing-cashbox-flow'"
"codex/f4-billing-cashbox-flow","8409ea46cdacf7d37c950e3cf085bff7268d8e9f","b00b8432752facbf9a7d1aa2130ec831491f2e2a","origin/codex/f4-billing-cashbox-flow","2026-06-12 01:53:36 -0600","AugustoMelara-Dev","fix(realtime): raise echo config throttle for operational smoke"
"origin/codex/f4-billing-cashbox-flow","8409ea46cdacf7d37c950e3cf085bff7268d8e9f","b00b8432752facbf9a7d1aa2130ec831491f2e2a","","2026-06-12 01:53:36 -0600","AugustoMelara-Dev","fix(realtime): raise echo config throttle for operational smoke"
"checkpoint/f3-merged-main-2026-06-11","6d8ea60d14c3bba120e37ce76a24daa938eca314","06c0ddc45c4d13e84eb95c6189572a9c20b88b4a","origin/checkpoint/f3-merged-main-2026-06-11","2026-06-12 00:29:37 -0600","AugustoMelara-Dev","fix(shell): use institutional Spanish permission copy"
"codex/f3-institutional-shell","6d8ea60d14c3bba120e37ce76a24daa938eca314","06c0ddc45c4d13e84eb95c6189572a9c20b88b4a","origin/codex/f3-institutional-shell","2026-06-12 00:29:37 -0600","AugustoMelara-Dev","fix(shell): use institutional Spanish permission copy"
"origin/checkpoint/f3-merged-main-2026-06-11","6d8ea60d14c3bba120e37ce76a24daa938eca314","06c0ddc45c4d13e84eb95c6189572a9c20b88b4a","","2026-06-12 00:29:37 -0600","AugustoMelara-Dev","fix(shell): use institutional Spanish permission copy"
"origin/codex/f3-institutional-shell","6d8ea60d14c3bba120e37ce76a24daa938eca314","06c0ddc45c4d13e84eb95c6189572a9c20b88b4a","","2026-06-12 00:29:37 -0600","AugustoMelara-Dev","fix(shell): use institutional Spanish permission copy"
"checkpoint/pre-f3-clean","cb8b704aa42394d4d82c2ee10151095d811acd8e","c52203d9de4c7c9e633361c56501337fa5f5e18d","origin/checkpoint/pre-f3-clean","2026-06-11 23:25:58 -0600","AugustoMelara-Dev","test(qa): fail F2 smoke when auth redirects to login"
"origin/checkpoint/pre-f3-clean","cb8b704aa42394d4d82c2ee10151095d811acd8e","c52203d9de4c7c9e633361c56501337fa5f5e18d","","2026-06-11 23:25:58 -0600","AugustoMelara-Dev","test(qa): fail F2 smoke when auth redirects to login"
"rescue/no-perder-nada-20260615-171019/stash/3","186623e4b38534f89232b563ec2b332f24303a79","90bfcd57f5d4c6f72a19dd7275872a4de206d337","","2026-06-11 23:18:45 -0600","AugustoMelara-Dev","On main: PRE-F3 dirty baseline and ambiguous hunks 2026-06-11"
"rescue/no-perder-nada-20260615-180121/stash/3","186623e4b38534f89232b563ec2b332f24303a79","90bfcd57f5d4c6f72a19dd7275872a4de206d337","","2026-06-11 23:18:45 -0600","AugustoMelara-Dev","On main: PRE-F3 dirty baseline and ambiguous hunks 2026-06-11"
"origin/rescue/no-perder-nada-20260615-171019/stash/3","186623e4b38534f89232b563ec2b332f24303a79","90bfcd57f5d4c6f72a19dd7275872a4de206d337","","2026-06-11 23:18:45 -0600","AugustoMelara-Dev","On main: PRE-F3 dirty baseline and ambiguous hunks 2026-06-11"
"origin/rescue/no-perder-nada-20260615-180121/stash/3","186623e4b38534f89232b563ec2b332f24303a79","90bfcd57f5d4c6f72a19dd7275872a4de206d337","","2026-06-11 23:18:45 -0600","AugustoMelara-Dev","On main: PRE-F3 dirty baseline and ambiguous hunks 2026-06-11"
"fix/service-price-histories-nullable-fk","37d1d8c38242efe65055ab4fcc8e3e145e9a8699","ffec138444270983a35eb668a1bb8758c0fd6a78","origin/fix/service-price-histories-nullable-fk","2026-06-10 16:34:21 -0600","AugustoMelara-Dev","fix(db): make service_price_histories.service_id nullable before nullOnDelete FK"
"origin/fix/service-price-histories-nullable-fk","37d1d8c38242efe65055ab4fcc8e3e145e9a8699","ffec138444270983a35eb668a1bb8758c0fd6a78","","2026-06-10 16:34:21 -0600","AugustoMelara-Dev","fix(db): make service_price_histories.service_id nullable before nullOnDelete FK"
"qa/restore-mysql-proof","a5ab3840cf80bff7a76c7be24416c1d2ecffa3a4","05baec43c6ac130b15f3485b1e2411847cac5c7e","origin/qa/restore-mysql-proof","2026-06-10 16:21:54 -0600","AugustoMelara-Dev","docs(qa): add FIELD-DEP-02-RISK-01 (migration bug confirmed on MariaDB 11)"
"origin/qa/restore-mysql-proof","a5ab3840cf80bff7a76c7be24416c1d2ecffa3a4","05baec43c6ac130b15f3485b1e2411847cac5c7e","","2026-06-10 16:21:54 -0600","AugustoMelara-Dev","docs(qa): add FIELD-DEP-02-RISK-01 (migration bug confirmed on MariaDB 11)"
"plan/fase-0-7-rc","75e7268502b533fc66d8a4a541753a2c83dc90ba","73332a04c9ea88ec9eefdfaafb2bbb8abf82a340","origin/plan/fase-0-7-rc","2026-06-10 13:16:41 -0600","AugustoMelara-Dev","docs(qa): re-anchor RISK_ACCEPTANCE_RC1 to HEAD 95b6a9e6"
"origin/plan/fase-0-7-rc","75e7268502b533fc66d8a4a541753a2c83dc90ba","73332a04c9ea88ec9eefdfaafb2bbb8abf82a340","","2026-06-10 13:16:41 -0600","AugustoMelara-Dev","docs(qa): re-anchor RISK_ACCEPTANCE_RC1 to HEAD 95b6a9e6"
"rescue/no-perder-nada-20260615-171019/stash/4","94c6ab95dd7ae4eed17bedb4c0edf5912c900d33","dffd11e7b94a27d5b800094d0b3f3e470a56a19e","","2026-06-09 09:03:38 -0600","AugustoMelara-Dev","On codex/p2-audit-completion: WIP: frontend refactor (no audit)"
"rescue/no-perder-nada-20260615-180121/stash/4","94c6ab95dd7ae4eed17bedb4c0edf5912c900d33","dffd11e7b94a27d5b800094d0b3f3e470a56a19e","","2026-06-09 09:03:38 -0600","AugustoMelara-Dev","On codex/p2-audit-completion: WIP: frontend refactor (no audit)"
"origin/rescue/no-perder-nada-20260615-171019/stash/4","94c6ab95dd7ae4eed17bedb4c0edf5912c900d33","dffd11e7b94a27d5b800094d0b3f3e470a56a19e","","2026-06-09 09:03:38 -0600","AugustoMelara-Dev","On codex/p2-audit-completion: WIP: frontend refactor (no audit)"
"origin/rescue/no-perder-nada-20260615-180121/stash/4","94c6ab95dd7ae4eed17bedb4c0edf5912c900d33","dffd11e7b94a27d5b800094d0b3f3e470a56a19e","","2026-06-09 09:03:38 -0600","AugustoMelara-Dev","On codex/p2-audit-completion: WIP: frontend refactor (no audit)"
"codex/p2-audit-completion","c431d5ddda4511f24ebeb909cc6cbaab757c02b0","4fbf08bba28e809ad1e9048f64fe77a87707a5c5","origin/codex/p2-audit-completion","2026-06-09 05:30:26 -0600","AugustoMelara-Dev","docs(qa): record cross-session partial review"
"origin/codex/p2-audit-completion","c431d5ddda4511f24ebeb909cc6cbaab757c02b0","4fbf08bba28e809ad1e9048f64fe77a87707a5c5","","2026-06-09 05:30:26 -0600","AugustoMelara-Dev","docs(qa): record cross-session partial review"
"codex/production-readiness-preflight","ab17005df5b090280fb642aafe885a5726449bb2","9b4ff71ddeca7e42d86e1bab86d976b9e1c87abc","origin/codex/production-readiness-preflight","2026-06-08 22:20:54 -0600","AugustoMelara-Dev","docs(qa): record handoff evidence review"
"origin/codex/production-readiness-preflight","ab17005df5b090280fb642aafe885a5726449bb2","9b4ff71ddeca7e42d86e1bab86d976b9e1c87abc","","2026-06-08 22:20:54 -0600","AugustoMelara-Dev","docs(qa): record handoff evidence review"
"rescue/no-perder-nada-20260615-171019/stash/5","bd05623533905c0c44964d65abbb133987f70208","2dcffcf7fb2a86ef2777e17caa124f298f053a19","","2026-06-03 14:58:29 -0600","AugustoMelara-Dev","On codex/production-readiness-preflight: wip: existing uncommitted diff"
"rescue/no-perder-nada-20260615-180121/stash/5","bd05623533905c0c44964d65abbb133987f70208","2dcffcf7fb2a86ef2777e17caa124f298f053a19","","2026-06-03 14:58:29 -0600","AugustoMelara-Dev","On codex/production-readiness-preflight: wip: existing uncommitted diff"
"origin/rescue/no-perder-nada-20260615-171019/stash/5","bd05623533905c0c44964d65abbb133987f70208","2dcffcf7fb2a86ef2777e17caa124f298f053a19","","2026-06-03 14:58:29 -0600","AugustoMelara-Dev","On codex/production-readiness-preflight: wip: existing uncommitted diff"
"origin/rescue/no-perder-nada-20260615-180121/stash/5","bd05623533905c0c44964d65abbb133987f70208","2dcffcf7fb2a86ef2777e17caa124f298f053a19","","2026-06-03 14:58:29 -0600","AugustoMelara-Dev","On codex/production-readiness-preflight: wip: existing uncommitted diff"
"codex/audit-f1-config-hardening","088232ec56ccf5108a0849156d04106db07a5592","af3f92484b51ddb552a8d9352aa5fd7cbbfa6633","origin/codex/audit-f1-config-hardening","2026-06-02 22:26:33 -0600","AugustoMelara-Dev","fix(frontend): keep dashboard as the only lazy route"
"codex/safety-pr4-current-20260603","088232ec56ccf5108a0849156d04106db07a5592","af3f92484b51ddb552a8d9352aa5fd7cbbfa6633","origin/codex/safety-pr4-current-20260603","2026-06-02 22:26:33 -0600","AugustoMelara-Dev","fix(frontend): keep dashboard as the only lazy route"
"origin/codex/audit-f1-config-hardening","088232ec56ccf5108a0849156d04106db07a5592","af3f92484b51ddb552a8d9352aa5fd7cbbfa6633","","2026-06-02 22:26:33 -0600","AugustoMelara-Dev","fix(frontend): keep dashboard as the only lazy route"
"origin/codex/safety-pr4-current-20260603","088232ec56ccf5108a0849156d04106db07a5592","af3f92484b51ddb552a8d9352aa5fd7cbbfa6633","","2026-06-02 22:26:33 -0600","AugustoMelara-Dev","fix(frontend): keep dashboard as the only lazy route"
"rescue/no-perder-nada-20260615-171019/stash/6","67ec8c3c7e1afb04a0975c81a3b114488b07852d","34d2a258dac731f3bb9dd5d2dbce7c58efbe7c70","","2026-06-02 22:17:45 -0600","AugustoMelara-Dev","On codex/audit-f1-config-hardening: safety-pr10-unrelated-paymentmodal-test-20260603"
"rescue/no-perder-nada-20260615-180121/stash/6","67ec8c3c7e1afb04a0975c81a3b114488b07852d","34d2a258dac731f3bb9dd5d2dbce7c58efbe7c70","","2026-06-02 22:17:45 -0600","AugustoMelara-Dev","On codex/audit-f1-config-hardening: safety-pr10-unrelated-paymentmodal-test-20260603"
"origin/rescue/no-perder-nada-20260615-171019/stash/6","67ec8c3c7e1afb04a0975c81a3b114488b07852d","34d2a258dac731f3bb9dd5d2dbce7c58efbe7c70","","2026-06-02 22:17:45 -0600","AugustoMelara-Dev","On codex/audit-f1-config-hardening: safety-pr10-unrelated-paymentmodal-test-20260603"
"origin/rescue/no-perder-nada-20260615-180121/stash/6","67ec8c3c7e1afb04a0975c81a3b114488b07852d","34d2a258dac731f3bb9dd5d2dbce7c58efbe7c70","","2026-06-02 22:17:45 -0600","AugustoMelara-Dev","On codex/audit-f1-config-hardening: safety-pr10-unrelated-paymentmodal-test-20260603"
"rescue/no-perder-nada-20260615-171019/stash/7","3ab1d5b41490837233abbb8ddaecf9fe6fe55427","4e727211364f2c8bc93ad5166ad6e544ab8cd7f1","","2026-06-02 22:16:24 -0600","AugustoMelara-Dev","On codex/audit-f1-config-hardening: safety-pr10-unrelated-paymentmodal-pnpm-20260603"
"rescue/no-perder-nada-20260615-180121/stash/7","3ab1d5b41490837233abbb8ddaecf9fe6fe55427","4e727211364f2c8bc93ad5166ad6e544ab8cd7f1","","2026-06-02 22:16:24 -0600","AugustoMelara-Dev","On codex/audit-f1-config-hardening: safety-pr10-unrelated-paymentmodal-pnpm-20260603"
"origin/rescue/no-perder-nada-20260615-171019/stash/7","3ab1d5b41490837233abbb8ddaecf9fe6fe55427","4e727211364f2c8bc93ad5166ad6e544ab8cd7f1","","2026-06-02 22:16:24 -0600","AugustoMelara-Dev","On codex/audit-f1-config-hardening: safety-pr10-unrelated-paymentmodal-pnpm-20260603"
"origin/rescue/no-perder-nada-20260615-180121/stash/7","3ab1d5b41490837233abbb8ddaecf9fe6fe55427","4e727211364f2c8bc93ad5166ad6e544ab8cd7f1","","2026-06-02 22:16:24 -0600","AugustoMelara-Dev","On codex/audit-f1-config-hardening: safety-pr10-unrelated-paymentmodal-pnpm-20260603"
"rescue/no-perder-nada-20260615-171019/stash/8","56540af75c15bc485407f670bbb33a46d768d6d3","74864da0bb8672ed5a55547ad681d03749e72cf3","","2026-06-02 22:08:13 -0600","AugustoMelara-Dev","On codex/audit-f1-config-hardening: safety-pr10-post-first-merge-attempt-20260603"
"rescue/no-perder-nada-20260615-180121/stash/8","56540af75c15bc485407f670bbb33a46d768d6d3","74864da0bb8672ed5a55547ad681d03749e72cf3","","2026-06-02 22:08:13 -0600","AugustoMelara-Dev","On codex/audit-f1-config-hardening: safety-pr10-post-first-merge-attempt-20260603"
"origin/rescue/no-perder-nada-20260615-171019/stash/8","56540af75c15bc485407f670bbb33a46d768d6d3","74864da0bb8672ed5a55547ad681d03749e72cf3","","2026-06-02 22:08:13 -0600","AugustoMelara-Dev","On codex/audit-f1-config-hardening: safety-pr10-post-first-merge-attempt-20260603"
"origin/rescue/no-perder-nada-20260615-180121/stash/8","56540af75c15bc485407f670bbb33a46d768d6d3","74864da0bb8672ed5a55547ad681d03749e72cf3","","2026-06-02 22:08:13 -0600","AugustoMelara-Dev","On codex/audit-f1-config-hardening: safety-pr10-post-first-merge-attempt-20260603"
"rescue/no-perder-nada-20260615-171019/stash/9","3b7ba59588e9e64daf2d7ce9acacdf8d287f76c7","afbb2db65e30c74c7e757d036292d4cc507a36c9","","2026-06-02 22:08:11 -0600","AugustoMelara-Dev","On codex/audit-f1-config-hardening: verify-baseline"
"rescue/no-perder-nada-20260615-180121/stash/9","3b7ba59588e9e64daf2d7ce9acacdf8d287f76c7","afbb2db65e30c74c7e757d036292d4cc507a36c9","","2026-06-02 22:08:11 -0600","AugustoMelara-Dev","On codex/audit-f1-config-hardening: verify-baseline"
